1.078966,0.240697
1.022540,0.249738
0.977258,0.259548
0.955785,0.274478
0.899393,0.277929
0.893639,0.295907
0.863434,0.305248
0.840097,0.316093
0.820661,0.327714
0.818819,0.346173
0.795220,0.355159
0.781955,0.368218
0.768272,0.380780
0.759696,0.395699
0.735506,0.402055
0.719008,0.411975
0.719449,0.431616
0.703380,0.441394
0.702180,0.460525
0.702211,0.480959
0.688766,0.492324
0.680515,0.507350
0.668634,0.519675
0.659277,0.533950
0.646724,0.545621
0.645934,0.567516
0.636768,0.582496
0.638352,0.607897
0.637971,0.632414
0.615722,0.635346
0.621397,0.667476
0.620531,0.693943
0.611025,0.711530
0.609787,0.739593
0.616413,0.778940
0.610681,0.804333
0.623110,0.855814
0.635460,0.910604
1.681728,2.628553
1.531563,2.503032
1.449273,2.478850
1.386236,2.484052
1.321376,2.483619
1.255230,2.477885
1.202357,2.496461
1.148248,2.511752
1.096091,2.530678
1.050927,2.566317
1.003657,2.598301
0.961310,2.645316
0.913393,2.679655
0.882065,2.768328
0.849961,2.864992
0.090932,1.903164
0.050094,1.808597
0.013417,1.757251
-0.021262,1.711736
-0.054499,1.677613
-0.087499,1.664151
-0.117267,1.612770
-0.148771,1.601362
-0.180088,1.591308
-0.209727,1.570563
-0.238625,1.549472
-0.271618,1.555686
-0.302045,1.546257
-0.336793,1.557443
-0.366831,1.545636
-0.398151,1.539528
-0.433974,1.549184
-0.468788,1.552872
-0.506988,1.565258
-0.538350,1.554974
-0.589982,1.599604
-0.635774,1.622773
-0.677766,1.632783
-0.737169,1.679919
-2.386298,5.154563
-2.500394,5.128727
-2.639820,5.149909
-2.769423,5.145823
-1.901770,3.074922
-1.896515,2.933271
-1.916537,2.837780
-1.946776,2.761482
-1.996291,2.714439
-2.021557,2.636353
-2.085728,2.609951
-2.147862,2.579856
-2.203050,2.540749
-2.263994,2.507626
-2.369176,2.520609
-2.473077,2.527605
-2.612946,2.565568
-1.598139,-0.368263
-1.459710,-0.367338
-1.384208,-0.378008
-1.341942,-0.395551
-1.307303,-0.414010
-1.263199,-0.428095
-1.240335,-0.448267
-1.197312,-0.460070
-1.199359,-0.488684
-1.168622,-0.503712
-1.172501,-0.533512
